category,Coefficient,Value,Std. Error,p,Estimate_on_the_response_scale,lwr_on_the_response_scale,uppr_on_the_response_scale
Industrial chemical,ps(Date_numeric)7,0,11.2918,1,1,0,4088964951.5398
Industrial chemical,ps(Date_numeric)8,0,11.6122,1,1,0,7661199964.3239
Industrial chemical,ps(Date_numeric)9,0,11.2918,1,1,0,4088964951.5397
Industrial chemical,ps(Date_numeric)10,0,10.3308,1,1,0,621671097.3528
Industrial chemical,ps(Date_numeric)11,0,8.729,1,1,0,26923312.199
Industrial chemical,ps(Date_numeric)12,0,6.4865,1,1,0,332110.95
Industrial chemical,ps(Date_numeric)13,0,3.603,1,1,9e-4,1166.4223
Industrial chemical,ps(Date_numeric)14,NA,0,NA,NA,NA,NA
Industrial chemical,Log(scale),NA,0,NA,NA,NA,NA
PAH,(Intercept),2.8072,0.1806,0,16.5633,11.6251,23.599
PAH,Agesubadult,0.0305,0.0492,0.5357,1.0309,0.9362,1.1353
PAH,Ageadult,0.0406,0.0466,0.3841,1.0414,0.9505,1.141
PAH,ParkEifel,0.0056,0.0823,0.9453,1.0057,0.8559,1.1817
PAH,ParkHainich,-0.0515,0.0916,0.5742,0.9498,0.7937,1.1367
PAH,ParkHunsrueck,0.0421,0.0829,0.6115,1.043,0.8866,1.227
PAH,ParkJasmund,-0.0711,0.0946,0.4522,0.9313,0.7737,1.1211
PAH,ParkKellerwald,-0.1756,0.1055,0.0961,0.839,0.6823,1.0317
PAH,ParkSaechs_Schw,-0.131,0.0866,0.1305,0.8773,0.7403,1.0395
PAH,ParkVorpomm,-0.1162,0.0957,0.2244,0.8903,0.7381,1.0739
PAH,Sexmale,-0.0015,0.0403,0.9695,0.9985,0.9226,1.0805
PAH,ps(Date_numeric)3,-0.0716,0.1287,0.5776,0.9309,0.7234,1.1978
PAH,ps(Date_numeric)4,-0.1334,0.1801,0.4589,0.8751,0.6149,1.2455
PAH,ps(Date_numeric)5,-0.1496,0.1875,0.4248,0.861,0.5963,1.2434
PAH,ps(Date_numeric)6,-0.1735,0.1839,0.3455,0.8407,0.5863,1.2056
PAH,ps(Date_numeric)7,-0.2195,0.1763,0.2131,0.8029,0.5684,1.1343
PAH,ps(Date_numeric)8,-0.246,0.1711,0.1506,0.7819,0.5591,1.0935
PAH,ps(Date_numeric)9,-0.2323,0.1676,0.1657,0.7927,0.5708,1.1009
PAH,ps(Date_numeric)10,-0.1974,0.1676,0.239,0.8209,0.5911,1.1401
PAH,ps(Date_numeric)11,-0.1911,0.1743,0.2728,0.826,0.587,1.1624
PAH,ps(Date_numeric)12,-0.1998,0.178,0.2618,0.8189,0.5777,1.1609
