Sample_number,Species,"2,4,4'-Trichlorobiphenyl (PCB #28)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","DDE-p,p'","DDT (p,p' and o,p')",Dieldrin,BHC-beta,gamma-HCH,oxy-Chlordane,Permethrin,Epoxiconazole,Propiconazole,Tebuconazole,Tetraconazole,Date_of_sample_collection,Park
CC40,C. capreolus,NA,NA,NA,<1,<1,<1,<1,NA,<1,<1,NA,<2,NA,NA,NA,NA,NA,2021-05-17,Non-Park
CC41,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-05-17,Non-Park
CC42,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,<1,NA,<2,NA,NA,NA,NA,NA,2021-05-18,Non-Park
CC43,C. capreolus,<1,NA,NA,<1,<1,NA,<1,<2,NA,1,NA,NA,NA,NA,NA,NA,NA,2021-05-18,Non-Park
CC44,C. capreolus,NA,NA,NA,<1,<1,<1,<1,NA,NA,<1,<1,NA,NA,NA,NA,NA,NA,2021-06-29,Non-Park
CC45,C. capreolus,NA,<1,NA,<1,<1,<1,<1,NA,NA,2,NA,<2,NA,NA,NA,<2,NA,2021-04-17,Non-Park
CC46,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,<1,NA,<2,NA,NA,NA,NA,NA,2021-04-19,Non-Park
CC47,C. capreolus,<1,NA,NA,<1,<1,<1,4,NA,NA,1,NA,<2,<4,NA,NA,NA,NA,2021-04-18,Non-Park
CC48,C. capreolus,NA,NA,NA,<1,<1,<1,2,<2,NA,2,NA,NA,<4,NA,NA,NA,NA,2021-04-21,Non-Park
CC49,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,1,NA,NA,<4,NA,NA,NA,NA,2021-04-21,Non-Park
CC50,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,2,NA,NA,<4,NA,NA,NA,<2,2021-04-27,Non-Park
CC51,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,1,NA,NA,NA,NA,NA,NA,NA,2021-05-01,Non-Park
CC52,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-07-04,Non-Park
CC53,C. capreolus,NA,<1,NA,<1,<1,<1,<1,NA,NA,<1,NA,NA,NA,NA,NA,<2,NA,2021-07-05,Non-Park
CC54,C. capreolus,NA,<1,NA,NA,<1,<1,<1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2021-07-09,Non-Park
CC55,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,1,NA,NA,NA,NA,NA,NA,NA,2021-05-16,Non-Park
CC56,C. capreolus,NA,NA,NA,<1,<1,<1,<1,NA,NA,1,NA,NA,NA,<1,NA,NA,NA,2021-04-30,Non-Park
CC57,C. capreolus,NA,NA,NA,<1,<1,<1,5,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-04-29,Non-Park
CC58,C. capreolus,NA,NA,NA,<1,<1,<1,<1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2021-05-07,Non-Park
